Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Surahmanto, F., Saptoadi, H., Sulistyo, H., Rohmat, T.A.","57190405205;53980377300;11139494300;54390143900;","Investigation of the slow pyrolysis kinetics of oil palm solid waste by the distributed activation energy model",2020,"Biofuels","11","6",,"663","670",,7,"10.1080/17597269.2017.1387750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032480423&doi=10.1080%2f17597269.2017.1387750&partnerID=40&md5=850065900550e68241cf0cba8609df02",Article,"Final","",Scopus,2-s2.0-85032480423
"Tan, Y.T., Ngoh, G.C., Chua, A.S.M.","57202818358;36148054900;7004519722;","Evaluation of fractionation and delignification efficiencies of deep eutectic solvents on oil palm empty fruit bunch",2018,"Industrial Crops and Products","123",,,"271","277",,41,"10.1016/j.indcrop.2018.06.091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049425408&doi=10.1016%2fj.indcrop.2018.06.091&partnerID=40&md5=d7cd9f80f525dbdd3c30397750963254",Article,"Final","",Scopus,2-s2.0-85049425408
"Pardon, L., Bessou, C., Saint-Geours, N., Gabrielle, B., Khasanah, N., Caliman, J.-P., Nelson, P.N.","57148101900;36157826400;55386096200;6603049348;56597009000;6506152080;55085284800;","Quantifying nitrogen losses in oil palm plantations: Models and challenges",2016,"Biogeosciences","13","19",,"5433","5452",,9,"10.5194/bg-13-5433-2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989965071&doi=10.5194%2fbg-13-5433-2016&partnerID=40&md5=980077b76d4e520234d763cd766fbe1e",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84989965071
"Zheng, J., Wu, W., Yuan, S., Fu, H., Li, W., Yu, L.","57207468262;57218125557;57213198049;8713118400;57191833776;55277716700;","Multisource-Domain Generalization-Based Oil Palm Tree Detection Using Very-High-Resolution (VHR) Satellite Images",2021,"IEEE Geoscience and Remote Sensing Letters",,,,"","",,,"10.1109/LGRS.2021.3061726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102613273&doi=10.1109%2fLGRS.2021.3061726&partnerID=40&md5=c387860df93dc749ccd37f06ab7cf491",Article,"Article in Press","",Scopus,2-s2.0-85102613273
[No author name available],[No author id available],"Journal of Physics: Conference Series",2018,"Journal of Physics: Conference Series","1116","4",,"","",328,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060036879&partnerID=40&md5=902653f6b6492aa879bff0aecbf9c0df",Conference Review,"Final","",Scopus,2-s2.0-85060036879
"Islam, M.R., Rivai, M., Gupta, A., Beg, M.D.H.","55770197700;56736958000;55628526656;9846221900;","Characterization of ultrasound-treated oil palm empty fruit bunch-glass fiber-recycled polypropylene hybrid composites",2015,"Journal of Polymer Engineering","35","2",,"135","143",,11,"10.1515/polyeng-2014-0132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937956978&doi=10.1515%2fpolyeng-2014-0132&partnerID=40&md5=fd045141d1ed7ea369bae462b5c62a78",Article,"Final","",Scopus,2-s2.0-84937956978
"De Carvalho, A.L.V., Alves, B.J.R., Baldani, V.L.D., Reis, V.M.","13410391000;7004069511;6602294711;7004239842;","Application of 15N natural abundance technique for evaluating biological nitrogen fixation in oil palm ecotypes at nursery stage in pot experiments and at mature plantation sites",2008,"Plant and Soil","302","1-2",,"71","78",,8,"10.1007/s11104-007-9456-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37749038008&doi=10.1007%2fs11104-007-9456-5&partnerID=40&md5=be6ac3cc6ac79152f578403cbc69cdf6",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-37749038008
"Tan, N.P., Zaharah, A.R., Akma, A.S.N., Jamaluddin, N.","57210993542;6602368799;36439148400;26659048500;","Evaluating the variability of Gafsa Phosphate Rock uptake by oil palm genotypes at nursery stage",2010,"Pertanika Journal of Tropical Agricultural Science","33","2",,"223","231",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955889503&partnerID=40&md5=063096caf4a9a9966d803c36673ac1f4",Article,"Final","",Scopus,2-s2.0-77955889503
"Ahmad, T., Bustam, M.A., Irfan, M., Moniruzzaman, M., Asghar, H.M.A., Bhattacharjee, S.","56941438500;6505688496;56351425900;55393726800;55260243400;7102306232;","Effect of volume of gold chloroauric acid on size, shape and stability of biosynthesized AuNPs using aqueous Elaeis guineensis (oil palm) leaves extract",2018,"International Journal of Automotive and Mechanical Engineering","15","1",,"5135","5145",,2,"10.15282/ijame.15.1.2018.18.0397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048330524&doi=10.15282%2fijame.15.1.2018.18.0397&partnerID=40&md5=5d3cc9977edc002b5173d8f7144423d7",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85048330524
"Joseph, S., Sreekumar, P.A., Kenny, J.M., Puglia, D., Thomas, S., Joseph, K.","57209594655;15754771700;57218420161;6506615961;7404654376;56270735700;","Oil palm microcomposites: Processing and mechanical behavior",2010,"Polymer Engineering and Science","50","9",,"1853","1863",,16,"10.1002/pen.21699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956999526&doi=10.1002%2fpen.21699&partnerID=40&md5=a34f8b290f53ee3123ff8eae869422f8",Article,"Final","",Scopus,2-s2.0-77956999526
"Matteoli, S., Diani, M., Massai, R., Corsini, G., Remorini, D.","24076749300;7003735775;6601963435;7103074007;6505770418;","A Spectroscopy-Based Approach for Automated Nondestructive Maturity Grading of Peach Fruits",2015,"IEEE Sensors Journal","15","10","7118642","5455","5464",,17,"10.1109/JSEN.2015.2442337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939241353&doi=10.1109%2fJSEN.2015.2442337&partnerID=40&md5=41f71c92f232dfb0e364c3cbafe0b342",Article,"Final","",Scopus,2-s2.0-84939241353
"Santos, C., Messina, J.P.","24342521900;7005126983;","Multi-sensor data fusion for modeling African palm in the Ecuadorian Amazon",2008,"Photogrammetric Engineering and Remote Sensing","74","6",,"711","723",,27,"10.14358/PERS.74.6.711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44849092118&doi=10.14358%2fPERS.74.6.711&partnerID=40&md5=1193f76a09fdf088e78b7ce8a46bdf8a",Article,"Final","",Scopus,2-s2.0-44849092118
"Huc, A., Vidrih, R., Trebar, M.","57219949757;6603289675;18538873900;","Determination of Pears Ripening Stages Based on Electrochemical Ethylene Sensor",2020,"IEEE Sensors Journal","20","23","9011581","13976","13983",,1,"10.1109/JSEN.2020.2975940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092692500&doi=10.1109%2fJSEN.2020.2975940&partnerID=40&md5=0c2eb467d9295c74b52b9eed9611b5a9",Article,"Final","",Scopus,2-s2.0-85092692500
"Saeidi, T., Ismail, I., Wen, W.P., Alhawari, A.R.H.","56901296600;57189522357;24484126500;26657121900;","Dielectric properties of complete oil palm trunk sample (healthy and unhealthy)",2019,"AIP Advances","9","7","075314","","",,1,"10.1063/1.5094459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069537792&doi=10.1063%2f1.5094459&partnerID=40&md5=441d0df7c90694379acc1f775beb9bcb",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85069537792
"Lai, O.-M., Tan, C.-P., Akoh, C.C.","7005650623;57222013952;7006881328;","Palm Oil: Production, Processing, Characterization, and Uses",2012,"Palm Oil: Production, Processing, Characterization, and Uses",,,,"1","836",,21,"10.1016/C2015-0-02411-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944239862&doi=10.1016%2fC2015-0-02411-X&partnerID=40&md5=f68e51d47a178f69157a7df739e7b538",Book,"Final","",Scopus,2-s2.0-84944239862
"Min Min, A., Yaakob, Z., Mohd Hilmi, M., Khairul Zaman, Hj., Kamarudin, S.K.K.","57217624750;6507003259;35299886400;9839504800;6506009910;","Preparation and thermal analysis of polyurethane composite using oil palm based polyol and fiber",2009,"Society of Plastics Engineers - Global Plastics Environmental Conference, GPEC 2008","2",,,"1134","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72849145709&partnerID=40&md5=8af40cefe8228c2f3133b6a59852cbfb",Conference Paper,"Final","",Scopus,2-s2.0-72849145709
"Haniff, M.H.","33167669000;","Gas exchange of excised oil palm (Elaeis guineensis) fronds",2006,"Asian Journal of Plant Sciences","5","1",,"9","13",,9,"10.3923/ajps.2006.9.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644697850&doi=10.3923%2fajps.2006.9.13&partnerID=40&md5=c308261e80c8a42e5a7f2c0f0a3302af",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-33644697850
"Abdul Aziz, F.N.A., Bida, S.M., Nasir, N.A.M., Jaafar, M.S.","35809792700;56399287500;57217211526;7004316170;","Properties of cement treated tire crumb and oil palm fruit fiber mortar",2015,"ISEC 2015 - 8th International Structural Engineering and Construction Conference: Implementing Innovative Ideas in Structural Engineering and Project Management",,,,"625","630",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960984179&partnerID=40&md5=05947af190c941230c42ff81aa8c1fe7",Conference Paper,"Final","",Scopus,2-s2.0-84960984179
"da Fonseca, L.C.N., de Araújo, A.C., Manzi, A.O., de Carvalho, C.J.R., de Oliveira, L.R.","57201800170;14062888500;7003461830;7102099104;57201800488;","COo2 fluxes in oil palm plantation in eastern Amazonia [Fluxos de CO2 em Plantio de Palma de Óleo no Leste da Amazônia]",2018,"Revista Brasileira de Meteorologia","33","1",,"181","192",,2,"10.1590/0102-7786331003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046116907&doi=10.1590%2f0102-7786331003&partnerID=40&md5=b9067e7bddd9786df544183490a1c12e",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85046116907
"Or, K.H., Putra, A., Selamat, M.Z.","57192593373;55212663600;37049456200;","Oil palm empty fruit bunch fibres as sustainable acoustic absorber",2017,"Applied Acoustics","119",,,"9","16",,71,"10.1016/j.apacoust.2016.12.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006844180&doi=10.1016%2fj.apacoust.2016.12.002&partnerID=40&md5=1734938b04acebb23532942e0c09f67f",Article,"Final","",Scopus,2-s2.0-85006844180
"Nureize, A., Watada, J.","23003621100;6602191686;","A fuzzy regression approach to a hierarchical evaluation model for oil palm fruit grading",2010,"Fuzzy Optimization and Decision Making","9","1",,"105","122",,17,"10.1007/s10700-010-9072-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952098436&doi=10.1007%2fs10700-010-9072-3&partnerID=40&md5=a7a9a00c161af755ab0c5709728c2cd0",Article,"Final","",Scopus,2-s2.0-77952098436
"Joseph, S., Joseph, K., Thomas, S.","57209594655;56270735700;7404654376;","Green composites from natural rubber and oil palm fiber: Physical and mechanical properties",2006,"International Journal of Polymeric Materials and Polymeric Biomaterials","55","11",,"925","945",,52,"10.1080/00914030600550505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746808579&doi=10.1080%2f00914030600550505&partnerID=40&md5=abde471480079cdfdaa5d71e81e104b7",Article,"Final","",Scopus,2-s2.0-33746808579
"Apichatmeta, K., Sudsiri, C.J., Ritchie, R.J.","57191982461;57191975264;7201592316;","Photosynthesis of Oil Palm (Elaeis guineensis)",2017,"Scientia Horticulturae","214",,,"34","40",,14,"10.1016/j.scienta.2016.11.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995602493&doi=10.1016%2fj.scienta.2016.11.013&partnerID=40&md5=3ecbf22aa8ccdf3a103ac4c8124a932c",Article,"Final","",Scopus,2-s2.0-84995602493
"Aziz, N.H.A., Wahab, N.A., Muhamad, W.N.W., Alias, A.J., Hashim, A.T., Mustafa, R.","35408481100;35790572400;35790233400;35789651600;35790029200;35790038400;","Smart integrated sensors in real time monitoring critical parameters in tissue culture growth room of oil palm",2009,"5th International Conference on MEMS NANO, and Smart Systems, ICMENS 2009",,,"5489310","229","233",,1,"10.1109/ICMENS.2009.53","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955398256&doi=10.1109%2fICMENS.2009.53&partnerID=40&md5=25ac9801411f7d5f6d0052d3788f8708",Conference Paper,"Final","",Scopus,2-s2.0-77955398256
"Law, M.C., Balasundram, S.K., Husni, M.H.A., Ahmed, O.H., Harun, M.H.","35272879700;13403041500;6603947433;7005843323;33167669000;","Spatial variability of soil organic Carbon in oil palm",2010,"International Journal of Soil Science","5","4",,"252","262",,,"10.3923/ijss.2009.93.103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856461319&doi=10.3923%2fijss.2009.93.103&partnerID=40&md5=a641251a09582a62e802cde21bac8642",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84856461319
"Law, M.C., Balasundram, S.K., Husni, M.H.A., Ahmed, O.H., Hanif Harun, M.","35272879700;13403041500;6603947433;7005843323;35272024400;","Spatial variability of soil organic carbon in oil palm",2009,"International Journal of Soil Science","4","4",,"93","103",,20,"10.3923/ijss.2009.93.103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350707799&doi=10.3923%2fijss.2009.93.103&partnerID=40&md5=9e53cb0bbaeafeefab13634fef7f1f90",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-70350707799
"González-Araiza, J.R., Ortiz-Sánchez, M.C., Vargas-Luna, F.M., Cabrera-Sixto, J.M.","57191658021;57191667926;6603290397;7801470214;","Application of electrical bio-impedance for the evaluation of strawberry ripeness",2017,"International Journal of Food Properties","20","5",,"1044","1050",,16,"10.1080/10942912.2016.1199033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992391776&doi=10.1080%2f10942912.2016.1199033&partnerID=40&md5=060ebd59bec98a398d4d0fa1b0730dfb",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84992391776
"Ndzi, D.L., Kamarudin, L.M., Mohammad, E.A.A., Zakaria, A., Ahmad, R.B., Fareq, M.M.A., Shakaff, A.Y.M., Jafaar, M.N.","6602415954;57192974774;57190367450;36560557700;57194844651;54796583900;8721012500;54796757100;","Vegetation attenuation measurements and modeling in plantations for wireless sensor network planning",2011,"Progress In Electromagnetics Research B",,"36",,"283","301",,41,"10.2528/PIERB11091908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83355160927&doi=10.2528%2fPIERB11091908&partnerID=40&md5=f1d1c888d410c4c7613767f8b12368ec",Article,"Final","All Open Access, Green",Scopus,2-s2.0-83355160927
"Karim, S.A.A., Kadir, E.A., Nasution, A.H.","36161979400;57217215616;6701746699;","Optimization based model using fuzzy and other statistical techniques towards environmental sustainability",2020,"Optimization Based Model Using Fuzzy and Other Statistical Techniques Towards Environmental Sustainability",,,,"1","81",,1,"10.1007/978-981-15-2655-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088475089&doi=10.1007%2f978-981-15-2655-8&partnerID=40&md5=4d6a41ea6875f67936c512b79c881263",Book,"Final","",Scopus,2-s2.0-85088475089
"Ngoot-Chin, T., Zulkifli, M.A., van de Weg, E., Zaki, N.M., Serdari, N.M., Mustaffa, S., Zainol Abidin, M.I., Sanusi, N.S.N.M., Smulders, M.J.M., Low, E.T.L., Ithnin, M., Singh, R.","56401097100;48862294300;24077586500;23993126600;57195678125;57217013097;57221905891;57195572832;7003863401;27171948000;23992486100;55728382700;","Detection of ploidy and chromosomal aberrations in commercial oil palm using high-throughput SNP markers",2021,"Planta","253","2","63","","",,1,"10.1007/s00425-021-03567-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100587836&doi=10.1007%2fs00425-021-03567-7&partnerID=40&md5=5bba29667701dbe59ce724949f31c838",Article,"Final","",Scopus,2-s2.0-85100587836
"Walsh, K.B., Subedi, P., Tijskens, P.","7403291431;15924609200;56986596800;","A case study of a decision support system on mango fruit maturity",2015,"Acta Horticulturae","1091",,,"195","204",,2,"10.17660/ActaHortic.2015.1091.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948844282&doi=10.17660%2fActaHortic.2015.1091.24&partnerID=40&md5=9e757c69c0f6ed5e48a8abec47631aed",Conference Paper,"Final","",Scopus,2-s2.0-84948844282
"Taniwaki, M., Sakurai, N.","15045908400;55770412000;","Evaluation of the internal quality of agricultural products using acoustic vibration techniques",2010,"Journal of the Japanese Society for Horticultural Science","79","2",,"113","128",,44,"10.2503/jjshs1.79.113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951619667&doi=10.2503%2fjjshs1.79.113&partnerID=40&md5=5d63bbfb434b602f523388a49f1a7975",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-77951619667
"Yonemoto, Y., Nomura, K., Ide, M., Inoue, H., Majikina, M., Okuda, H.","13607432900;7402536505;9635050500;57205784842;6507581507;7202093224;","Index for harvesting time of white sapote (Casimiroa edulis Llave &amp; Lex.) cv. 'Cuccio'",2006,"Journal of Horticultural Science and Biotechnology","81","1",,"18","22",,4,"10.1080/14620316.2006.11512023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-31344438429&doi=10.1080%2f14620316.2006.11512023&partnerID=40&md5=f4aeaf32538764fe01e23321e40401dd",Article,"Final","",Scopus,2-s2.0-31344438429
"Mohd Hilmi Tan, M.I.S., Jamlos, M.F., Omar, A.F., Dzaharudin, F., Chalermwisutkul, S., Akkaraekthalin, P.","57223087120;54915241200;36810188200;35219916100;24830023300;6506006755;","Ganoderma boninense disease detection by near‐infrared spectroscopy classification: A review",2021,"Sensors","21","9","3052","","",,,"10.3390/s21093052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104721564&doi=10.3390%2fs21093052&partnerID=40&md5=b1a4ab92d360dbe86a6258a0f0db9d11",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85104721564
"Chen, Q., Liu, D., Lin, L., Wu, J.","57191631876;57113838000;57113949600;8284618300;","Bridging interdigitated electrodes by electrochemical-assisted deposition of graphene oxide for constructing flexible gas sensor",2019,"Sensors and Actuators, B: Chemical","286",,,"591","599",,11,"10.1016/j.snb.2019.02.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061314089&doi=10.1016%2fj.snb.2019.02.024&partnerID=40&md5=61a876484d5885f483e1c044eafe6ff8",Article,"Final","",Scopus,2-s2.0-85061314089
"Wang, L.-P., Jin, Z., Luo, T., Ding, Y., Liu, J.-H., Wang, X.-F., Li, M.-Q.","57206698616;37012613900;7102058686;56763111100;55158029300;36175291500;35490990200;","The detection of ethylene using porous ZnO nanosheets: utility in the determination of fruit ripeness",2019,"New Journal of Chemistry","43","8",,"3619","3624",,9,"10.1039/c9nj00031c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061869021&doi=10.1039%2fc9nj00031c&partnerID=40&md5=f26fe24a467af335511edd7193e407b3",Article,"Final","",Scopus,2-s2.0-85061869021
"Treetaruyanont, K., Suwannalert, S., Keaunkaub, N., Saengpenk, T.","24177640900;56137005200;56135973300;56136469600;","Influence of monocropping and intercropping systems between para rubber and oil palm plantation on growth and yield of Phlai",2014,"Acta Horticulturae","1023",,,"307","310",,,"10.17660/ActaHortic.2014.1023.45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899564003&doi=10.17660%2fActaHortic.2014.1023.45&partnerID=40&md5=da2a193cb3d8a194d35700e03758896e",Conference Paper,"Final","",Scopus,2-s2.0-84899564003
"Sahad, N., Som, A.M., Baharuddin, A.S., Mokhtar, N., Busu, Z., Sulaiman, A.","56422492800;57204623337;26021042500;16176210100;26639127400;26639857600;","Physicochemical characterization of oil palm decanter cake (OPDC) for residual oil recovery",2014,"BioResources","9","4",,"6361","6372",,19,"10.15376/biores.9.4.6361-6372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911376343&doi=10.15376%2fbiores.9.4.6361-6372&partnerID=40&md5=d78ade2a7830eb22072940f4d8b9869c",Review,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84911376343
"Selamat, M.E., Sulaiman, O., Hashim, R., Hiziroglu, S., Nadhari, W.N.A.W., Sulaiman, N.S., Razali, M.Z.","55734929600;56463144200;35237015200;6603915183;36129971200;6603772488;56142325900;","Measurement of some particleboard properties bonded with modified carboxymethyl starch of oil palm trunk",2014,"Measurement: Journal of the International Measurement Confederation","53",,,"251","259",,20,"10.1016/j.measurement.2014.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899658872&doi=10.1016%2fj.measurement.2014.04.001&partnerID=40&md5=724543114bb176758b3414626afec6d5",Article,"Final","",Scopus,2-s2.0-84899658872
"Hussin, M.H., Rahim, A.A., Mohamad Ibrahim, M.N., Yemloul, M., Perrin, D., Brosse, N.","36701361400;56484788500;55909512200;25029272600;7103279718;6603382062;","Investigation on the structure and antioxidant properties of modified lignin obtained by different combinative processes of oil palm fronds (OPF) biomass",2014,"Industrial Crops and Products","52",,,"544","551",,44,"10.1016/j.indcrop.2013.11.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890228128&doi=10.1016%2fj.indcrop.2013.11.026&partnerID=40&md5=09a836f2000d6b254f0db7524e609eb0",Article,"Final","",Scopus,2-s2.0-84890228128
"Bello, O.S., Oladipo, M.A., Olatunde, A.M.","24733712000;6602253585;56414726800;","Sorption studies of lead ions onto activated carbon produced from Oil-Palm fruit fibre",2010,"Stem Cell","1","1",,"14","29",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82255194160&partnerID=40&md5=f0eca62fe56839827148e282858ce441",Article,"Final","",Scopus,2-s2.0-82255194160
"Tan, J.S., Ani, F.N.","55450627600;6603282533;","Diffusional behavior and adsorption capacity of palm shell chars for oxygen and nitrogen - The effect of carbonization temperature",2003,"Carbon","41","4",,"840","842",,11,"10.1016/S0008-6223(02)00431-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037246234&doi=10.1016%2fS0008-6223%2802%2900431-1&partnerID=40&md5=28633069f84b12ec649630830f4b5719",Letter,"Final","",Scopus,2-s2.0-0037246234
"Ramdani, F., Moffiet, T., Hino, M.","54409192400;8566271900;36766648000;","Local surface temperature change due to expansion of oil palm plantation in Indonesia",2014,"Climatic Change","123","2",,"189","200",,21,"10.1007/s10584-013-1045-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896735000&doi=10.1007%2fs10584-013-1045-4&partnerID=40&md5=c9f13f8f1e5eddd83c6db5486fbd226a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84896735000
"Toh, C.M., Ewe, H.T., Tey, S.H., Tay, Y.H.","57201580284;55663557100;56422024100;7004818434;","A study on leaf area index and SAR image of oil palm with entropy decomposition and deep learning classification",2017,"Progress in Electromagnetics Research Symposium","2017-November",,,"271","278",,1,"10.1109/PIERS-FALL.2017.8293148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045318902&doi=10.1109%2fPIERS-FALL.2017.8293148&partnerID=40&md5=9013c331cdb3c3e7ce71c80956bbab58",Conference Paper,"Final","",Scopus,2-s2.0-85045318902
"Kanniah, K.D., Tan, K.P., Cracknel, A.P.","6503862357;54409513000;55575057100;","UK-DMC 2 satellite data for deriving biophysical parameters of oil palm trees in Malaysia",2012,"International Geoscience and Remote Sensing Symposium (IGARSS)",,,"6352094","6569","6572",,12,"10.1109/IGARSS.2012.6352094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873120130&doi=10.1109%2fIGARSS.2012.6352094&partnerID=40&md5=2059067aff9f328d8b08a23068631947",Conference Paper,"Final","",Scopus,2-s2.0-84873120130
"Septiwibowo, B., Hadiwijaya, B., Caliman, J.-P.","57211620242;57211626222;6506152080;","CO2 balance on oil palm agrosystem in Sumatra, Indonesia",2019,"IOP Conference Series: Earth and Environmental Science","336","1","012022","","",,,"10.1088/1755-1315/336/1/012022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074632192&doi=10.1088%2f1755-1315%2f336%2f1%2f012022&partnerID=40&md5=4df08cdc1dc1fdf238447d77d05658c0",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85074632192
"Abdullah, A.H., Adorn, A.H., Shakaff, A.Y.Md., Ahmad, M.N., Saad, M.A., Tan, E.S., Fikri, N.A., Markom, M.A., Zakaria, A.","26029734700;26655264800;8721012500;7402896132;57212261330;57210106471;26029813700;55677087885;36560557700;","Electronic nose system for ganoderma detection",2011,"Sensor Letters","9","1",,"353","358",,11,"10.1166/sl.2011.1479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83255175163&doi=10.1166%2fsl.2011.1479&partnerID=40&md5=0815cad440e0d1ea5efe2c8aaee0fdbd",Conference Paper,"Final","",Scopus,2-s2.0-83255175163
"Bakar, A.A., Keat, T.B., Hassan, A.","55232211100;35345253000;35579435400;","Tensile properties of a poly(vinyl chloride) composite filled with poly(methyl methacrylate) grafted to oil palm empty fruit bunches",2010,"Journal of Applied Polymer Science","115","1",,"91","98",,4,"10.1002/app.30689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73949102955&doi=10.1002%2fapp.30689&partnerID=40&md5=6e58af7c440b442b103a027693e2cd79",Article,"Final","",Scopus,2-s2.0-73949102955
"Rahman, N., Bruun, T.B., Giller, K.E., Magid, J., van de Ven, G.W.J., de Neergaard, A.","57204498349;12239562300;7005321356;55916174500;6601957289;6603430055;","Soil greenhouse gas emissions from inorganic fertilizers and recycled oil palm waste products from Indonesian oil palm plantations",2019,"GCB Bioenergy","11","9",,"1056","1074",,13,"10.1111/gcbb.12618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070876444&doi=10.1111%2fgcbb.12618&partnerID=40&md5=7852fd362998183052df182a53a39da3",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85070876444
"Khorramnia, K., Khot, L.R., Shariff, A.R.B.M., Ehsani, R., Mansor, S.B., Rahim, A.B.A.","56203547100;22951210900;13612157400;23100009200;6701532356;57217672669;","Oil palm leaf nutrient estimation by optical sensing techniques",2014,"Transactions of the ASABE","57","4",,"1267","1277",,8,"10.13031/trans.57.10142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908011040&doi=10.13031%2ftrans.57.10142&partnerID=40&md5=06a15be077b1fa540b2853b0b176b392",Article,"Final","",Scopus,2-s2.0-84908011040
"Azmi, M.A., Mohammad, R., Pebrian, D.E.","57213155460;57216748248;57204622415;","Evaluation of soil EC mapping driven by manual and autopilot-automated steering systems of tractor on oil palm plantation terrain",2020,"Food Research","4",,,"62","69",,1,"10.26656/fr.2017.4(S5).015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102244467&doi=10.26656%2ffr.2017.4%28S5%29.015&partnerID=40&md5=3a4dafcdd54d451789f380547866d435",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85102244467
"Dhandapani, S., Ritz, K., Evers, S., Sjögersten, S.","57204707397;7007027315;53163448500;55883605300;","Environmental impacts as affected by different oil palm cropping systems in tropical peatlands",2019,"Agriculture, Ecosystems and Environment","276",,,"8","20",,10,"10.1016/j.agee.2019.02.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061976248&doi=10.1016%2fj.agee.2019.02.012&partnerID=40&md5=e39c7e53120ddc7480d2df7d575dfbc0",Article,"Final","",Scopus,2-s2.0-85061976248
"Jayaselan, H.A.J., Ismail, W.I.W., Ahmad, D.","40761544000;6603897473;7006597524;","Manipulator automation for Fresh Fruit Bunch (FFB) harvester",2012,"International Journal of Agricultural and Biological Engineering","5","1",,"7","12",,1,"10.3965/j.ijabe.20120501.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859056471&doi=10.3965%2fj.ijabe.20120501.002&partnerID=40&md5=c8562f87b4d9570396ae95b540f3b173",Article,"Final","",Scopus,2-s2.0-84859056471
